tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
JUBLINGREA,NSE,JUBILANT INGREVIA,712449,NSE,0.05,1,STOCK,Chemicals,Chemicals,0,1
ANURAS,NSE,ANUPAM RASAYAN INDIA,724225,NSE,0.1,1,STOCK,Chemicals,Chemicals,0,1
CRAFTSMAN,NSE,CRAFTSMAN AUTOMATION,730625,NSE,0.5,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
RELIANCE,NSE,RELIANCE INDUSTRIES,738561,NSE,0.1,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
KALYANKJIL,NSE,KALYAN JEWELLERS IND,756481,NSE,0.05,1,STOCK,Consumer Durables,Consumer Durables,1,1
SAIL,NSE,STEEL AUTHORITY OF INDIA,758529,NSE,0.01,1,STOCK,Metals & Mining,Metals & Mining,1,1
JINDALSAW,NSE,JINDAL SAW,774145,NSE,0.01,1,STOCK,Capital Goods,Capital Goods,0,1
SBIN,NSE,STATE BANK OF INDIA,779521,NSE,0.1,1,STOCK,Financial Services,Financial Services,1,1
SCI,NSE,SHIPPING CORP OF INDIA LT,780289,NSE,0.05,1,STOCK,Services,Services,0,1
VEDL,NSE,VEDANTA,784129,NSE,0.05,1,STOCK,Metals & Mining,Metals & Mining,1,1
SHREECEM,NSE,SHREE CEMENT,794369,NSE,5.0,1,STOCK,Construction Materials,Construction Materials,1,1
SIEMENS,NSE,SIEMENS,806401,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
LODHA,NSE,LODHA DEVELOPERS,824321,NSE,0.05,1,STOCK,Realty,Realty,1,1
SRF,NSE,SRF,837889,NSE,0.1,1,STOCK,Chemicals,Chemicals,1,1
SUNDARMFIN,NSE,SUNDARAM FINANCE,854785,NSE,0.1,1,STOCK,Financial Services,Financial Services,0,1
SUNPHARMA,NSE,SUN PHARMACEUTICAL IND L,857857,NSE,0.1,1,STOCK,Healthcare,Healthcare,1,1
