tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
PGHL,NSE,PROCTER & GAMBLE HEALTH L,240641,NSE,0.5,1,STOCK,Healthcare,Drug Manufacturers - Specialty & Generic,0,1
ESABINDIA,NSE,ESAB INDIA,244481,NSE,0.5,1,STOCK,Industrials,Tools & Accessories,0,1
SUBEXLTD,NSE,SUBEX,247553,NSE,0.01,1,STOCK,Technology,Software - Application,0,1
EPL,NSE,EPL,251137,NSE,0.01,1,STOCK,Consumer Cyclical,Packaging & Containers,0,1
EVERESTIND,NSE,EVEREST INDUSTRIES,254209,NSE,0.05,1,STOCK,Industrials,Building Products & Equipment,0,1
EUROTEXIND,NSE,EUROTEX INDUSTRIES,255745,NSE,0.01,1,STOCK,Real Estate,Real Estate - Development,0,1
AARON,NSE,AARON INDUSTRIES,263681,NSE,0.01,1,STOCK,Industrials,Specialty Industrial Machinery,0,1
FINPIPE,NSE,FINOLEX INDUSTRIES,266497,NSE,0.01,1,STOCK,Industrials,Building Products & Equipment,0,1
UFLEX,NSE,UFLEX,269569,NSE,0.05,1,STOCK,Consumer Cyclical,Packaging & Containers,0,1
FOSECOIND,NSE,FOSECO INDIA,274689,NSE,0.1,1,STOCK,Basic Materials,Chemicals,0,1
GARFIBRES,NSE,GARWARE TECH FIBRES,281601,NSE,0.05,1,STOCK,Consumer Cyclical,Textile Manufacturing,0,1
DANGEE,NSE,DANGEE DUMS,284161,NSE,0.01,1,STOCK,Consumer Cyclical,Restaurants,0,1
GHCL,NSE,GHCL,288513,NSE,0.05,1,STOCK,Basic Materials,Chemicals,0,1
GTECJAINX,NSE,G-TEC JAINX EDUCATION,289025,NSE,0.01,1,STOCK,Consumer Defensive,Education & Training Services,0,1
APOLLO,NSE,APOLLO MICRO SYSTEMS,290305,NSE,0.05,1,STOCK,Industrials,Aerospace & Defense,0,1
GICHSGFIN,NSE,GIC HOUSING FINANCE,291585,NSE,0.01,1,STOCK,Financial Services,Mortgage Finance,0,1
GINNIFILA,NSE,GINNI FILAMENTS,292353,NSE,0.01,1,STOCK,Consumer Cyclical,Textile Manufacturing,0,1
GIPCL,NSE,GUJ IND POW CO.,293121,NSE,0.01,1,STOCK,Utilities,Utilities - Regulated Electric,0,1
GMBREW,NSE,G M BREWERIES,299009,NSE,0.05,1,STOCK,Consumer Defensive,Beverages - Wineries & Distilleries,0,1
GNFC,NSE,GUJ NAR VAL FER & CHEM L,300545,NSE,0.05,1,STOCK,Basic Materials,Chemicals,0,1
FMGOETZE,NSE,FEDERAL-MOGUL GOETZE (IND,304641,NSE,0.05,1,STOCK,Consumer Cyclical,Auto Parts,0,1
KANSAINER,NSE,KANSAI NEROLAC PAINTS,306177,NSE,0.01,1,STOCK,Basic Materials,Specialty Chemicals,0,1
GOODYEAR,NSE,GOODYEAR INDIA,308481,NSE,0.05,1,STOCK,Consumer Cyclical,Auto Parts,0,1
DELTAMAGNT,NSE,DELTA MANUFACTURING,310785,NSE,0.01,1,STOCK,Consumer Cyclical,Textile Manufacturing,0,1
GREAVESCOT,NSE,GREAVES COTTON,316161,NSE,0.01,1,STOCK,Industrials,Specialty Industrial Machinery,0,1
GSFC,NSE,GUJ STATE FERT & CHEM,319233,NSE,0.01,1,STOCK,Basic Materials,Agricultural Inputs,0,1
GUJALKALI,NSE,GUJARAT ALKALIES & CHEM,324353,NSE,0.05,1,STOCK,Basic Materials,Chemicals,0,1
GFLLIMITED,NSE,GFL,329985,NSE,0.01,1,STOCK,Financial Services,Asset Management,0,1
HARRMALAYA,NSE,HARRISON MALAYALAM,336129,NSE,0.01,1,STOCK,Consumer Defensive,Farm Products,0,1
